Composite.Element.REF	TCGA-ND-A4WA-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N8-A4PO-01	TCGA-N8-A4PN-01	TCGA-N8-A4PM-01	TCGA-N8-A4PP-01	TCGA-N5-A4RV-01	TCGA-NA-A4QW-01	TCGA-NA-A4R1-01	TCGA-NA-A4QX-01	TCGA-N7-A59B-01	TCGA-N7-A4Y8-01	TCGA-N7-A4Y5-01	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4VD-01	TCGA-N6-A4VC-01	TCGA-N6-A4VE-01	TCGA-N6-A4V9-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NA-A4R0-01	TCGA-NA-A4QY-01	TCGA-NA-A4QV-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-ND-A4W6-01	TCGA-N7-A4Y0-01	TCGA-N9-A4Q4-01
EIF4G1|eIF4G	1.3732	0.1589	-0.4457	0.7908	-0.5353	-0.3826	-0.7829	0.0834	-0.8111	0.2551	-0.0146	-1.9755	0.0734	-0.5874	-0.9814	0.8166	0.0721	0.198	0.5365	0.505	1.094	1.249	-0.1015	0.277	0.7759	0.4225	-0.1401	2.1968	0.9806	-0.5327	-4.3128	1.2004	0.6704	0.3375	-0.0307	0.7411	0.269	-0.2691	-0.8099	-1.3541	-0.3421	-0.2367	-1.2846	0.0526	1.1936	0.0607	-0.5069	0.0533
FASN|FASN	0.9981	-1.1242	0.0545	0.1351	0.5824	-0.4425	-1.9649	0.223	-1.3593	-0.695	2.0743	-0.0134	0.6931	-0.375	1.1387	-1.4079	-0.8634	0.5755	-1.1261	0.7608	-1.3998	0.013	-0.6896	0.7879	-1.5455	-0.2238	0.7683	1.2047	0.9225	0.7756	1.0456	0.9475	-0.258	-0.3123	0.8755	-0.2009	1.1443	1.4573	0.0535	-1.219	-1.68	-0.1765	-1.6054	-0.0114	1.218	-0.8166	-0.6524	1.7135
FOXO3|FOXO3a_pS318_S321	-0.3965	-0.199	1.2124	0.3214	-1.8099	-1.6441	-0.4223	1.0622	-0.075	0.4742	-0.2901	-0.3617	-1.3675	1.5894	0.0611	1.398	-0.0876	0.9995	0.4516	0.2664	0.3403	-0.375	0.5055	2.4156	-0.3277	-1.6922	-0.3269	-1.0763	0.2074	-0.3678	-0.4855	-0.3765	0.0445	-1.3435	0.2352	-0.0533	-0.565	-0.3851	0.5792	3.4153	1.3244	-0.2015	-0.3215	-0.7845	-0.403	0.391	-1.6002	0.0445
FOXM1|FoxM1	-0.3929	-0.4082	-0.075	0.6295	-0.8322	1.4714	0.5836	-0.3306	-0.037	-0.797	-1.4192	-1.1957	1.6306	-0.9395	1.8791	-1.4142	0.6309	1.0933	-1.1061	0.0811	-0.8539	-0.3504	-0.4713	0.7763	0.6099	0.2779	-0.9967	0.9227	0.7116	0.0496	-1.7929	1.4398	0.2942	0.1828	0.9926	-0.9328	-0.4698	0.969	0.605	2.871	-2.0409	-0.992	-0.1461	-0.9277	-0.4567	0.0188	0.4435	0.2151
G6PD|G6PD	0.3584	-1.1207	2.2506	-0.2301	1.6783	-0.3403	-0.8851	0.1975	0.7761	-0.6233	0.945	0.3111	0.1074	-0.7796	0.1826	-0.5588	0.2759	0.2909	-0.6507	-0.4673	-0.3119	0.2105	-0.46	-0.6983	-0.2971	-0.4867	2.0404	1.141	-0.5595	0.0793	0.1033	-0.0631	-0.5074	-0.5817	0.2583	0.2029	0.6189	0.3273	-0.341	0.9769	-4.6129	0.6076	0.1733	0.6945	-0.2778	0.6671	0.6609	-1.2829
GAPDH|GAPDH	0.3296	0.1809	2.2081	-0.3286	1.3463	1.2036	-1.5787	0.5022	-0.8147	-1.565	0.9422	-0.0332	0.236	-0.1846	0.9761	0.002	-0.2349	0.4675	1.3546	1.1007	0.4559	0.6045	-1.2076	-0.1636	-1.0821	-0.0111	1.5609	0.0428	0.0184	-1.4066	0.966	1.1667	-0.3673	0.5546	0.3026	-0.4034	-0.022	1.2102	-0.4597	-0.9087	0.0959	-1.894	-1.0249	0.9187	-0.2641	-1.774	-0.4835	-2.5345
GSK3A GSK3B|GSK3_pS9	-0.6407	1.244	-2.3344	0.5526	-2.498	-1.127	0.2606	-0.0764	-1.4776	1.2781	-0.4502	-0.6735	-1.1824	1.04	0.7161	2.1207	-0.0725	0.5619	0.9005	0.9404	0.8109	0.822	-0.1332	-0.1497	-0.9932	-1.5213	-1.6573	0.2709	0.2455	0.1848	1.3947	-0.7545	0.8028	0.8468	1.7395	0.372	-0.3796	0.3643	-1.2747	-1.1244	0.7002	-0.0044	0.539	-0.148	-0.1932	-0.1246	0.0117	0.2705
NRG1|Heregulin	-0.671	1.4775	3.0821	-1.0017	-0.1117	0.1108	0.4115	-0.7193	0.2947	0.7123	0.0386	-0.7547	-0.3272	1.2373	-0.2887	1.1488	-0.5915	-0.8679	2.0159	0.1611	1.0489	-0.2783	-0.9814	-0.3846	0.2478	-0.0221	-0.8384	-0.6852	-0.2573	-0.5896	-0.6022	-0.7958	-0.8369	-0.6254	-0.9872	-1.0502	-0.8558	-1.0511	1.3796	1.9838	-1.7879	0.2573	-0.2841	-0.9616	0.5255	0.1024	1.5083	1.4647
MYH11|MYH11	1.2218	0.5697	0.4739	-0.6266	-0.0254	-1.1334	-0.602	0.4257	2.1964	-0.3146	1.7037	-1.3889	-0.2726	-0.0339	0.1109	-0.0431	0.9424	-1.1751	-0.2163	-0.6907	-0.3612	-1.0184	-0.4836	-1.0417	-0.2872	1.4582	2.4548	-0.414	-1.2725	-0.9769	-0.8357	1.7084	-0.2654	-0.3631	-0.9268	-0.3197	1.9855	1.1544	-0.3176	-1.362	1.6694	0.1	0.2807	0.2754	-0.8612	0.5314	-1.2119	-0.421
MYH9|Myosin-IIa-pS1943	0.9096	0.3094	-0.6954	1.0497	0.1143	-0.7201	-0.4595	0.2569	-1.6459	0.1765	-0.6829	0.1844	0.1819	0.0915	0.124	0.0316	0.9194	-0.8325	-1.47	-1.2572	-2.6068	-0.2234	-1.0794	0.4784	-0.8609	1.7172	-0.1	1.0991	-0.3472	-0.5798	0.4188	1.0596	0.6105	1.2373	1.2694	0.8445	1.2952	0.6945	-0.5244	-1.9591	2.157	-0.008	-0.4341	1.5348	-0.0689	0.1625	-0.6127	-1.76
NRAS|N-Ras	-0.9564	-1.7771	3.3597	0.0652	1.362	0.5029	0.1179	-0.5572	-0.3436	0.1503	-0.2218	0.7302	0.2011	-0.8292	0.2981	-0.3625	-0.9069	0.2365	-0.0149	-0.523	0.8071	-0.4303	-0.4398	-0.0875	0.8211	-0.4876	0.0626	-0.5441	0.281	-0.102	-0.6239	-0.9014	-0.5357	-0.7795	0.188	-0.7567	-0.4342	-0.7298	0.749	4.0094	-1.9555	0.3459	0.5043	-0.5402	0.4333	0.4891	-0.1014	0.2275
NDRG1|NDRG1_pT346	-0.1434	-0.1308	0.5764	0.6971	-0.6819	-1.0063	-0.886	-0.5651	-0.4753	-1.1337	-1.0184	-0.2151	-0.2394	-0.6854	-0.6875	-0.3364	1.4784	-0.5058	-0.1	-0.1043	-0.3618	0.9803	0.5229	-0.7533	-0.5674	-1.2609	-1.0254	0.002	-0.2343	-0.9041	2.0981	-0.0214	1.6872	1.4946	1.9148	2.4486	-0.6028	-0.9968	-0.997	1.4134	-1.0575	-0.3599	0.9735	2.331	-0.3167	0.2875	0.5011	-1.033
CDKN1A|p21	-0.3959	1.2115	1.3746	-1.1281	-1.4682	-1.1781	1.0009	0.6047	-1.4671	1.0167	-1.504	-0.2124	-1.8945	1.0461	-1.6465	0.9447	-1.0454	0.0612	1.8205	0.6745	1.5955	0.6322	0.5005	-0.2377	-1.3427	-1.3525	-0.016	-1.4776	0.9649	-0.0996	1.6671	-0.8035	0.3829	0.6018	-0.5277	0.0587	-1.4552	1.195	0.5649	-0.1393	-0.188	-0.4554	0.1871	-0.113	0.6196	0.6624	0.6493	0.1113
CDKN1B|p27_pT198	0.2229	-0.7142	1.8191	0.8613	-0.4809	0.0268	-0.5399	-1.2232	0.0529	-0.6704	-1.2033	-1.3022	0.1728	-1.1296	0.604	-0.6697	-0.4499	-0.0073	-0.1776	-0.392	0.5907	-0.0918	-0.6523	0.4025	1.3381	-0.4484	0.6349	-0.2121	0.3313	-0.2356	-2.2177	0.2167	0.497	-0.5664	0.9236	-0.4557	1.3293	-0.4856	1.3345	3.8731	-1.5057	0.5653	0.2602	-1.5074	0.2234	0.8715	0.6343	-0.4473
RPS6KA1|p90RSK	0.0517	-2.2213	0.0973	-1.3664	0.3185	0.3539	-0.6671	-0.0303	-0.6119	-0.531	2.1327	-0.122	-0.1561	0.0118	1.5631	-2.3563	0.7851	1.1544	-2.324	-0.9456	-1.0906	0.5712	0.4996	1.398	0.5713	-0.4859	0.6508	1.4202	0.3027	0.5976	0.3899	-0.1846	0.5617	-0.9759	0.4242	0.6134	1.1476	-0.6234	0.0221	-1.5799	1.3777	0.2106	0.9411	0.5135	0.1056	-0.5778	-1.3769	-0.5602
PDCD4|PDCD4	0.3364	-1.0839	-0.6876	-0.8435	-2.6851	0.2476	-0.135	0.1341	-0.0008	-0.6592	-0.1552	0.0996	-1.2763	1.0516	-1.5852	-0.9361	0.7385	1.8413	1.0611	0.228	-0.2164	0.6925	-0.057	0.0024	0.6285	0.7135	-0.5533	-1.6179	1.0224	0.8505	-0.126	-0.4547	1.7138	-0.2326	-0.6835	0.8624	0.9992	2.2935	0.3647	-1.2047	1.4747	0.1528	1.3404	-0.1695	-1.1645	-0.0192	-1.364	-0.9383
PDK1|PDK1	-0.491	3.1464	-0.3744	-0.1709	0.17	-0.5033	0.109	-0.3687	-0.6018	1.6489	-0.3908	-0.2461	0.2967	2.8658	0.1741	0.4965	-1.2162	-0.2725	2.6263	0.3396	2.0624	-0.1445	-0.2206	-0.4699	-0.2591	-0.731	-0.4485	-0.6179	-0.3581	-0.2622	0.1297	-0.7642	-0.9011	-0.9731	-0.6046	-0.8177	-0.5481	-0.7881	1.7385	-0.8098	-0.5721	-0.4404	-0.516	-0.717	0.8818	-0.6025	-0.1461	0.6624
PEA15|PEA15_pS116	-1.0287	4.4155	-0.9813	-0.5635	0.3279	-0.0797	-0.3095	-1.2626	-1.0932	-0.5021	-2.1266	-0.5525	-0.3414	-0.17	-0.2702	0.2223	-0.6607	-0.4503	0.1849	0.4654	0.5793	0.4565	0.2366	-0.0824	0.8818	0.4633	0.3273	0.2624	-0.1287	-0.4641	-1.3096	-0.4362	-0.6156	-0.9185	-0.4603	-0.3097	-0.4585	0.4053	1.0742	2.5971	0.0054	-0.4059	0.4411	0.4147	0.7005	0.2866	1.4372	-0.204
PIK3R1 PIK3R2|PI3K-p85	-0.534	-1.6322	1.9107	1.87	0.1607	-0.841	-0.3781	-1.0668	-0.2331	-0.0731	-0.6539	0.8454	-0.9695	-1.3188	0.4318	-0.598	0.9473	0.1452	-0.1295	-0.4627	-0.2152	-1.6393	0.1408	0.9696	-0.381	-0.3853	-0.8936	0.6816	0.0373	0.6231	1.8625	-1.1872	0.0378	-0.2673	0.6091	0.9716	1.7057	-0.6922	0.8121	-2.2698	1.7015	0.8827	1.2342	-0.4695	0.656	0.529	-1.335	-1.1395
PRKCB|PKC-pan_BetaII_pS660	-0.1539	-0.376	-2.6858	0.0672	-2.457	-1.5415	-0.8545	-0.0632	-0.3467	-0.255	0.3207	-0.4238	-0.0238	1.4813	-0.1686	-0.6465	0.632	0.9291	-0.8085	-0.1672	-0.4476	0.4477	1.2196	0.2396	-0.751	-0.1656	-1.0076	0.5196	1.2676	1.0648	0.2918	-0.2774	1.2748	0.6345	0.9942	0.5991	1.4394	1.3945	-0.4021	-2.4708	1.9714	0.3401	0.4579	0.5996	0.0407	-0.2807	-1.1304	-0.3222
PRDX1|PRDX1	0.33	-0.5888	2.5627	-1.2181	1.6791	0.5292	-1.3443	0.6469	-0.2921	-1.864	0.9779	1.5506	-0.8707	-0.0717	-0.0702	0.8463	0.3192	1.9382	0.8376	-0.459	-0.2457	-0.6286	-1.3877	-0.0824	-1.3973	-0.0018	1.6022	-0.1204	-1.9645	-0.597	0.5248	0.1382	-1.2203	-0.7941	-0.0681	0.1946	1.7159	0.9181	0.7206	-0.395	-1.1791	0.1122	0.0963	-0.2935	-0.5597	0.5384	-0.8981	-0.1667
RAB11A RAB11B|Rab11	-0.6166	-0.0401	2.8103	1.2605	1.0824	0.0229	0.4364	-0.6573	-0.1445	-0.3117	-0.2106	0.0593	-0.3949	-1.1655	0.5036	-1.4853	0.1237	-0.8929	-1.1886	-0.9418	0.4424	-1.0172	0.1955	-0.3535	0.7119	-0.6891	1.0923	-0.2667	-0.2035	0.1722	-0.3864	-0.4208	-1.1731	-0.3332	-0.3597	-0.086	-0.8251	-0.5136	0.8929	4.4732	0.2819	-0.4225	0.6813	0.579	-0.2607	0.2306	0.011	-0.7022
RAB25|Rab25	0.1247	-1.1405	0.9135	-0.5811	-0.276	-0.2892	-0.7702	0.6137	1.5737	-0.8606	1.8219	-1.6074	-0.3869	0.7455	-1.0432	-1.2021	2.1651	-1.271	-0.8851	-0.7078	-1.2162	-0.6762	0.9174	-0.8358	-0.5401	-0.3563	2.0794	1.2884	0.3075	-0.8815	1.2569	1.7899	0.8251	0.7074	-0.6309	1.0944	0.4057	-0.0332	-0.4041	0.3915	-0.6367	-0.5764	-0.5163	1.532	-1.0461	-0.4585	-0.9637	0.2394
RPTOR|Raptor	0.8483	-0.2389	-1.6337	-0.3704	0.9268	0.6371	-1.2341	-0.0115	-0.2059	-0.0068	-0.5335	-0.5686	0.2201	-0.2562	1.0836	-1.7063	-0.8973	0.9506	1.2648	0.5108	-1.5717	-0.072	0.5427	1.3632	0.2642	0.4539	0.6148	-1.1018	-0.6951	0.5553	-0.8173	-0.9519	-0.6436	0.3408	-0.0514	-0.9754	-0.1757	-0.4836	0.4186	2.4391	2.5607	0.4415	-0.6204	-1.5419	0.2938	-1.0415	2.3185	-0.6427
RBM15|RBM15	0.0933	1.0215	-4.4048	-0.5971	-1.4831	0.2322	-0.7838	0.1665	-0.1095	0.1191	-0.9965	-0.6582	0.7556	0.2487	0.968	1.0573	0.4265	1.2867	1.1919	-0.0262	0.4919	0.4546	0.0563	1.4193	0.7294	0.1424	-0.7144	0.1676	-0.6839	-0.0817	-1.1409	0.8149	0.5939	-0.2034	0.1844	-0.039	0.6226	0.8702	0.0677	-2.4598	0.2057	0.4482	-0.3739	-0.6932	0.5162	0.0741	-1.0212	1.044
RICTOR|Rictor	0.535	-0.1758	-1.1037	0.4515	-0.2842	0.2413	-0.3885	0.3572	2.2782	-0.7705	0.4255	-1.6313	-0.0003	-0.2457	-0.7956	0.1434	-0.1977	-0.5668	0.7298	-0.3642	-0.9132	-0.3265	-0.419	0.7786	0.1284	0.8254	2.7535	0.8771	-0.1223	-0.2204	-2.0025	1.682	-0.4857	-0.0155	-0.2723	-0.2432	2.7932	0.5648	-0.3155	-1.1655	1.7909	-0.5795	-0.8884	-0.1247	-0.2871	0.0485	-1.6371	-0.8614
RICTOR|Rictor_pT1135	-0.851	-0.4738	2.3731	0.8067	-0.1214	-0.5639	0.9751	-0.0073	-0.7753	-0.0056	-1.5697	-1.6163	-0.3164	0.8733	0.6845	0.6828	-1.1351	-0.1451	-0.0017	0.3756	0.427	-0.4259	-0.54	-0.8088	0.2181	-0.3346	-0.2913	-0.6207	0.3002	-0.0293	-0.5145	-0.8343	-0.0762	-0.0272	-0.4525	-0.2141	-0.7554	-0.307	0.7975	4.3353	0.977	-0.6142	1.5264	-0.5949	-0.44	-0.3201	1.4013	-0.9702
SCD1|SCD1	0.4463	-0.4	0.8647	-0.0003	0.5398	0.3141	-0.4269	-0.6226	-0.3237	-0.2627	-0.2224	-0.2777	0.5335	-0.2166	0.1309	-0.1466	-0.3196	0.5452	0.9186	0.0745	0.4205	0.0505	-0.0483	0.629	0.1199	-0.3479	0.4133	-0.0483	0.7219	-0.0534	-0.4466	0.4592	0.1899	-0.5722	0.5346	-0.0451	0.1671	-0.0958	0.2406	2.1116	-6.0442	0.1111	-0.1707	-0.3252	0.1205	0.514	0.1323	0.1134
SRSF1|SF2	1.0431	1.143	-2.221	-0.4947	-0.7839	-0.2445	-0.1471	0.9387	0.0509	0.5337	-1.9799	-2.7986	0.1576	0.669	-0.4403	0.2575	-0.1819	0.3782	1.7869	0.4883	0.7256	0.6581	-0.1348	1.2057	0.1676	-0.3944	0.4909	0.0513	0.7552	-0.9291	1.4463	1.0539	0.7744	-0.418	-0.1025	0.2807	-0.3161	0.813	0.306	-1.4737	-2.9402	-0.4696	-1.0569	-0.3549	0.7795	0.348	0.0877	0.4912
WWTR1|TAZ	-0.6981	-0.1761	2.0432	1.1009	1.62	1.3818	0.7251	-1.1199	0.1656	0.2451	-1.0684	-0.498	-0.7543	-0.4382	-0.5908	0.986	-0.8747	-1.5868	0.7685	-0.199	1.0297	-1.2113	-0.1376	-0.9304	0.4636	-0.1607	-0.9774	-0.0509	0.4733	-1.0985	-0.8146	-0.7038	-0.5501	-0.1728	-0.2101	-0.0656	-0.9994	-0.8214	0.2947	3.3279	2.279	-0.6237	0.4715	-0.9371	-0.0701	0.6829	0.7984	-0.3173
TIGAR|TIGAR	-0.5569	-1.3249	0.5759	-0.6555	0.345	1.5142	-1.2636	-0.6897	-0.9144	-1.5614	0.1913	-0.5258	1.0915	-1.4425	0.8452	-1.0215	-0.2117	-0.604	0.4044	1.426	-0.7614	0.2158	4.263	-0.3264	-0.1688	0.3112	1.0722	0.8627	0.5818	0.1348	0.5355	0.9233	-0.1189	-1.1397	-0.6802	-0.9721	0.5697	1.3415	0.0309	0.2763	-1.0173	-0.0429	0.2807	-0.087	-0.2649	-0.1912	-0.3911	-0.8594
TGM2|Transglutaminase	0.1642	-0.248	-0.5191	-0.9674	1.6438	-0.6935	-0.5824	-0.1473	0.9732	-0.8978	0.8871	-0.635	0.8766	-0.9488	2.145	-0.7701	2.7908	-1.0053	0.4404	-0.5996	-0.3348	-1.1205	0.4319	-1.1738	-0.7563	0.8932	1.5422	0.2108	-0.6665	-0.8927	0.385	-0.0338	-0.4328	-1.1783	-0.7775	-0.5223	1.1987	0.3663	-0.4612	-0.4806	0.0825	-0.1332	-0.0228	3.0365	-1.0219	0.8413	-0.5682	-0.3178
TFRC|TFRC	0.2808	1.2284	1.0266	-0.3885	-0.3651	-0.8069	-2.0624	-1.2349	-0.0272	-0.6889	0.1627	0.4149	0.4369	-0.1145	1.5041	-0.46	-0.4175	1.2459	1.963	-0.2157	0.1677	-0.5705	-0.1888	-0.849	-1.3754	-0.5865	-0.3853	1.8973	0.3029	-0.9893	-0.1081	0.9934	0.2983	-0.7491	1.4716	1.6516	-0.3913	0.6134	-0.1806	0.1314	-1.7296	-1.7278	-0.8976	2.4333	0.047	-1.1058	-0.2705	0.6158
TSC1|TSC1	0.1719	-0.284	-2.9461	0.2142	0.7973	0.4703	-0.2844	-0.5375	0.3384	-0.4872	-0.6752	-0.3621	-0.2591	-0.2683	1.2111	-0.3458	1.1095	-0.5526	1.2662	-0.248	0.2297	-0.2325	0.4341	0.1431	1.1909	-0.4006	0.8974	1.2773	-0.4923	-0.6145	0.2159	0.6815	0.7017	-0.1122	0.1815	0.8467	0.0729	0.7861	-0.0577	-3.8314	1.7632	0.5806	-0.5096	-1.217	0.5907	-0.3841	-1.9122	0.8422
TSC2|Tuberin_pT1462	-0.4777	1.3347	-1.1226	1.129	-1.0825	-0.67	1.1509	1.6776	-1.0871	0.9188	-0.5417	-0.9357	0.0299	0.7749	0.1781	2.6456	-0.326	1.3285	0.4945	2.0076	0.2596	1.1018	-0.9408	0.0994	-1.4158	-1.7997	-0.9637	0.0095	-0.539	-0.0028	0.8497	-1.1274	0.887	0.0374	0.9768	1.1474	-1.2065	-0.8836	-1.3258	0.443	-0.0521	-0.3877	-0.5235	-0.6323	-0.0404	-0.075	0.0918	-1.414
VHL|VHL	1.9142	-0.5414	-1.0773	-1.0653	1.4895	-0.0937	-1.1398	0.2308	-0.6524	-1.1644	1.8053	-1.6805	-0.447	0.7891	-0.2874	-0.8646	0.3546	1.1534	-0.7659	-0.0258	0.2959	0.2131	0.1638	-0.7871	-0.0588	1.835	0.2757	0.1773	-0.0598	-0.0152	1.2015	1.6155	0.6703	-0.2557	-0.8717	1.3885	0.0621	0.1465	0.7206	-1.0825	-1.7722	-0.7247	-0.819	2.3672	-0.6271	-1.2187	-1.1786	0.4068
XBP1|XBP1	1.2371	1.3152	-1.2492	0.5183	-1.2101	-0.0725	0.142	0.7168	-0.157	-0.1205	0.2023	-1.5657	-0.221	-0.0383	-0.6068	0.3121	0.1073	-0.1213	-0.3343	-0.008	-0.7883	-0.0285	1.2883	-0.4882	-0.6472	-0.7219	-0.417	-0.3731	0.9014	-0.1356	-0.7925	0.0356	0.386	-0.8556	-0.9328	-0.1444	-0.3926	-0.4177	0.0954	0.7666	0.1135	-0.4064	1.1708	-1.1639	-0.8289	1.6125	4.8308	-0.5131
TUBA1B|Acetyl-a-Tubulin-Lys40	-0.5571	-0.5323	-2.4612	-1.7576	1.7872	-0.3022	-0.8565	1.5451	-0.3515	-0.023	1.8828	-0.6192	1.4654	-0.4703	0.4665	1.5601	0.3099	-0.1373	-0.0267	0.1668	-1.4222	-0.9875	-0.5242	1.4359	0.3341	-2.1115	1.6252	0.5003	0.6714	0.1269	0.2039	0.2886	0.8603	0.0291	-0.2293	0.5807	-1.1734	0.7228	0.4034	-1.4183	0.4614	-1.3334	-1.1717	0.071	0.374	0.0155	0.7186	-0.1405
SQSTM1|p62-LCK-ligand	0.2705	-0.3419	-2.4731	0.0659	1.0997	-1.0969	-1.2662	0.5041	-0.3946	-1.1308	0.0948	0.9062	-0.2979	0.5952	1.8953	-0.4584	2.042	-0.4072	0.4258	-1.161	-0.7877	0.5282	0.1388	1.6668	-1.5166	-0.0455	-1.4501	2.131	-0.8334	0.1226	-0.5813	0.8717	0.1331	0.5049	0.8897	0.3541	1.4885	-1.1462	0.2477	-1.2325	-0.5336	1.2803	0.3227	-0.0364	-0.2328	0.6348	-0.5746	-1.216
YWHAB|14-3-3_beta	-0.0198	-0.3168	3.072	0.0287	0.7237	0.051	-0.0269	-0.3311	-0.9813	0.0639	-0.8508	-0.2611	-0.4691	-0.1682	-0.1056	-0.4772	-1.6703	-0.4149	-0.7839	0.0909	-0.0747	-0.6612	0.0471	-0.6275	0.388	0.8106	-0.0291	0.1014	0.657	-0.0144	-0.7002	0.0537	0.4353	-0.7868	-1.2729	-0.8974	0.01	-0.2926	1.6966	3.9167	-1.9689	0.6456	1.0196	-0.7532	-0.0662	1.2397	0.4493	-0.4784
YWHAZ|14-3-3_zeta	-0.1195	-0.1731	4.4939	1.1721	1.82	-0.2994	0.6832	-1.4868	-0.0306	-0.5522	-0.3804	0.9753	0.2168	0.3449	0.0305	0.8447	0.4025	-0.0313	0.553	-0.4769	-0.4933	-0.951	-2.3386	0.2521	-0.8994	-0.1141	0.8793	0.2604	-0.6856	0.1245	-0.6438	0.138	-0.4515	-0.1261	0.4418	0.9646	-0.5271	-1.4148	-0.0978	-1.3305	0.8198	-0.5098	-0.8148	0.0652	-0.421	0.2295	-0.7931	0.4503
ACVRL1|ACVRL1	-0.1641	-1.8005	3.7077	-0.1153	1.1622	-0.5742	-0.3295	-0.436	1.0956	-0.0656	-0.2643	0.1934	-0.3186	-0.5103	0.3231	-0.5524	0.0717	-0.7332	-0.601	-0.104	0.8016	-0.5961	-0.9154	-0.5582	-0.3367	-0.629	1.2148	-0.1004	0.1588	-0.3493	0.4511	-0.186	-0.7463	-0.8918	-0.482	-0.4801	0.7016	-1.1469	0.5426	3.7735	-0.5983	-0.6556	1.0431	-0.0665	-0.0603	0.9962	-0.2675	-0.6015
DIRAS3|DIRAS3	0.0643	-1.096	1.9321	0.5279	0.6833	0.4923	0.5324	-0.2796	0.0821	-0.0294	-0.3774	-0.4055	0.2634	-0.6723	0.8975	-0.3784	-0.7273	-0.332	-0.2163	-0.3866	0.0258	-0.5223	-0.1842	-0.2062	0.5851	0.0049	0.0682	-0.5197	0.6604	-0.2485	-0.1392	0.2316	-0.0579	-0.6395	-0.0714	-0.7168	-0.2873	-0.553	0.7709	3.9209	-4.1703	-0.1675	1.0669	-0.4447	-0.06	-0.1759	1.2145	0.041
ANXA1|Annexin-1	-0.2556	-1.4037	1.9193	-0.4157	2.0494	-1.2562	-0.3975	-0.4773	-0.0002	-1.5567	1.0499	0.9266	-0.2256	1.9101	1.817	-0.7294	0.0038	-1.1095	-1.3806	-0.8603	-0.6868	-0.9071	0.9341	-1.2074	-0.7616	0.1524	1.0316	-0.17	-0.5734	-1.0667	0.6227	0.0799	0.4775	-0.6097	0.4376	1.538	0.4404	-0.6239	-0.8688	-0.6104	1.9382	-0.6227	1.0753	1.0734	-0.4857	0.082	0.6765	-0.9733
PREX1|PREX1	-0.5366	-1.1799	2.7481	-0.4217	-0.504	-0.6114	0.5371	0.3233	0.3071	-1.004	-0.7181	1.4522	2.0673	-0.5967	-0.0049	-0.6142	0.4431	0.2648	-1.2243	-0.182	-0.8671	-0.4732	-0.0814	1.1916	0.848	-0.6845	-0.7677	-0.2964	-0.3611	0.1266	1.8207	-0.8444	0.6521	-0.6761	-0.985	1.138	2.4211	0.0889	-1.1617	-1.5341	0.5829	-0.2546	1.1783	-1.5851	0.5698	0.6695	-0.5919	-0.6682
ERCC1|ERCC1	1.9793	-0.1793	-2.482	0.6448	-0.3091	0.6442	-0.7408	0.0575	-0.3746	0.2798	0.0799	-1.1327	-0.2666	-0.3923	1.2063	-0.4778	-0.5387	1.9837	1.9548	0.9385	-0.4816	0.9505	0.106	1.5434	0.7392	-0.9604	-0.7142	0.8069	0.1431	0.5771	-0.1165	-0.2763	-0.4299	-2.094	0.6041	0.1511	-0.4185	-1.1119	2.0269	0.8991	-1.1942	-0.8428	-0.1687	-1.6573	-0.0834	0.2149	-1.1021	0.0144
MSH2|MSH2	1.4862	-0.4486	-1.635	-0.2531	-0.3318	0.582	-1.208	0.3874	0.4323	-0.275	-0.0637	-0.1043	0.8173	-0.7971	1.4837	-0.2434	0.5161	1.2866	-0.7601	0.2647	-0.026	0.8391	-0.7179	1.4598	1.0402	-0.1971	-0.2256	0.242	0.2794	0.5581	-0.197	1.0879	1.5177	-0.7058	0.1982	-0.0979	0.0729	1.0176	0.6638	-0.6152	-4.3773	0.2597	-0.6973	0.0815	0.314	-1.1499	-1.5078	-0.2533
MSH6|MSH6	0.7894	1.1109	-3.7095	-0.6355	-0.9328	1.0792	-0.5434	0.4306	0.4363	-0.0853	-0.939	0.0532	0.6045	-0.1365	2.1253	-0.3414	-0.2418	1.099	-0.2595	0.9972	0.8495	0.5811	0.0096	1.56	1.7179	-0.8754	0.111	-0.2623	0.1059	0.7444	-0.9858	-0.2886	1.2677	-0.0504	-0.034	-0.5708	0.1332	1.2187	0.1231	-1.5754	-0.8624	-0.0266	-1.2034	-0.299	0.5374	-0.8543	-1.6723	-0.2997
